1,"Gerente de cuentas"
4,"Actuario"
5,"Acupuntor"
6,"Consejero en adicciones"
8,"Ejecutivo de cuentas publicitarias"
9,"Redactor publicitario"
10,"Ingeniero aeroespacial"
13,"Agrónomo"
20,"Animador en artes visuales"
21,"Locutor"
22,"Antropólogo"
25,"Valuador"
26,"Acuicultor"
28,"Arqueólogo"
29,"Arquitecto"
32,"Arteterapeuta/Musicoterapeuta"
34,"Director artístico"
35,"Curador"
36,"Creador de obras de arte"
37,"Administrador de actividades artísticas"
38,"Astronauta"
39,"Astrónomo"
40,"Entrenador deportivo"
42,"Audiólogo"
50,"Gerente de banco"
57,"Biólogo"
61,"Botánico"
65,"Gerente de construcción"
69,"Analista de sistemas de negocios"
75,"Consejero vocacional"
78,"Cartógrafo"
79,"Caricaturista/Dibujante de historietas"
81,"Director de reparto"
82,"Coordinador de servicios alimenticios"
86,"Chef"
88,"Ingeniero químico"
89,"Químico"
90,"Asistente de cuidado de menores"
93,"Quiropráctico"
95,"Ingeniero civil"
97,"Litigante civil"
103,"Asistente social"
104,"Compositor"
105,"Creador de animaciones computarizadas"
107,"Especialista en redes informáticas"
108,"Programador de computadoras"
109,"Responsable de soporte informático"
110,"Instructor en informática"
112,"Funcionario de servicios de conservación"
116,"Abogado mercantil/comercial"
117,"Instructor empresarial"
119,"Diseñador de vestuario"
124,"Abogado penalista"
125,"Criminólogo"
126,"Conservador"
128,"Agente aduanero"
132,"Diseñador de bases de datos"
133,"Educador infantil"
135,"Higienista dental"
137,"Dentista"
139,"Especialista en autoedición o autoeditor"
141,"Dietista"
142,"Director"
143,"Director de fotografía"
146,"Médico"
151,"Ecólogo"
152,"Funcionario de desarrollo económico"
153,"Economista"
154,"Editor"
156,"Ingeniero eléctrico"
162,"Maestro de escuela primaria"
165,"Empresario"
166,"Ingeniero ambiental"
167,"Inspector sanitario"
169,"Epidemiólogo"
170,"Profesor de inglés como segundo idioma"
172,"Planificador de eventos"
173,"Diseñador de exposiciones"
174,"Especialista en explosivos"
175,"Médico familiar"
177,"Granjero o productor agropecuario"
178,"Diseñador de moda"
182,"Editor de cine"
190,"Inspector de alimentos"
193,"Silvicultor"
195,"Productor de frutas y verduras"
196,"Recaudador de fondos"
201,"Geólogo"
203,"Gerontólogo"
205,"Diseñador gráfico"
208,"Administrador de servicios de salud"
215,"Historiador"
217,"Especialista en ciencias de la familia y el consumidor"
218,"Inspector de viviendas"
220,"Horticultor"
222,"Gerente de hotel"
224,"Especialista en recursos humanos"
