1,"Account Manager","Gerente de cuentas","FI","Los gerentes de cuentas trabajan en bancos y otras instituciones financieras para satisfacer las necesidades bancarias de los clientes."
2,"Activist","Activista","FI","Los activistas crean conciencia sobre cuestiones sociales, políticas o ambientales, y trabajan para generar cambios."
3,"Actor","Actor","FI","Los actores trabajan en obras, películas, programas de televisión, comerciales y otras producciones."
4,"Actuary","Actuario","FI","Los actuarios determinan cuánto cobrar por servicios que tienen un costo futuro incierto, como los seguros."
5,"Acupuncturist","Acupuntor","HE","Los acupuntores tratan enfermedades mediante la colocación de agujas en puntos específicos de la superficie del cuerpo para aliviar el dolor y el estrés de los pacientes."
6,"Addictions Counselor","Consejero en adicciones","HS","Los consejeros en adicciones ayudan a las personas a superar su dependencia del alcohol, las drogas, el juego y otras adicciones."
7,"Administrative Assistant","Auxiliar administrativo","HS","Los auxiliares administrativos llevan a cabo las tareas necesarias para que las organizaciones continúen funcionando correctamente."
8,"Advertising Account Executive","Ejecutivo de cuentas publicitarias","BU,MK","Los ejecutivos de cuentas publicitarias trabajan con los clientes y coordinan las actividades de las personas que desarrollan campañas publicitarias."
9,"Advertising Copywriter","Redactor publicitario","AR,BU,MK","Los redactores publicitarios crean anuncios para periódicos, revistas, programas de televisión, radio e Internet."
10,"Aerospace Engineer","Ingeniero aeroespacial","SC","Los ingenieros aeroespaciales diseñan, construyen y ponen a prueba aviones, naves espaciales y misiles."
11,"Agent","Representante","BU,MK","Los representantes defienden los intereses financieros y profesionales de sus clientes, incluidos atletas, modelos, escritores y actores."
13,"Agronomist","Agrónomo","AG,SC","Los agrónomos estudian las plantas y el suelo para ayudar a los granjeros a producir grandes extensiones de cultivos sanos."
14,"Air Traffic Controller","Controlador aéreo","AG,SC","Los controladores aéreos dirigen los horarios de despegue y aterrizaje de los aviones y las rutas de vuelo mientras están en el aire."
15,"Aircraft Mechanic","Mecánico de aviones","AG,SC","Los mecánicos de aviones mantienen los aviones en vuelo realizando tareas de mantenimiento, reparación e inspecciones regulares."
16,"Airport Ground Crew","Personal aeronáutico de tierra","AG,SC","El personal aeronáutico de tierra se encarga del mantenimiento de los aviones cuando están en tierra; carga mercadería e inspecciona, abastece de combustible y dirige los aviones."
17,"Animal Breeder","Criador de animales","AG,SC","Los criadores de animales crían y venden perros, gatos, caballos, pájaros y otros animales."
18,"Animal Caretaker","Cuidador de animales","AG,SC","Los cuidadores de animales se ocupan de los animales dondequiera que estos se encuentren: criaderos, tiendas de mascotas y zoológicos."
19,"Animal Trainer","Adiestrador de animales","AG,SC","Los adiestradores de animales adiestran perros, caballos, ballenas y otros ejemplares para que sean obedientes, sigan órdenes y se comporten de la forma deseada."
20,"Animator","Creador de animaciones","AR","Los creadores de animaciones dibujan series de imágenes que se filman, para crear dibujos animados para cine y televisión."
21,"Announcer","Locutor","AR","Los locutores presentan los datos del clima, los deportes y otras historias de interés periodístico en la televisión o la radio."
22,"Anthropologist","Antropólogo","AR,SC","Los antropólogos estudian a los seres humanos: nuestra evolución y características físicas, nuestras culturas y sociedades, y nuestras lenguas."
23,"Antique Dealer","Anticuario","AR,SC","Los anticuarios compran y venden antigüedades con el fin de ganar dinero."
24,"Appliance Repairer","Electricista","AR,SC","Los electricistas diagnostican y solucionan problemas relacionados con los electrodomésticos, como los hornos, las máquinas de lavar, los secadores y las aspiradoras."
